지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41117,인계로,매탄동,810-3,삼성1,1988,14,67.13,2020,1,18,272500000
41117,인계로189번길,매탄동,897,매탄주공4,1985,4,46.8,2020,1,18,630000000
41117,동수원로,매탄동,810-2,동남,1989,5,49.68,2020,1,18,200000000
41117,동수원로,매탄동,810-2,동남,1989,11,49.68,2020,1,18,199000000
41117,동수원로,매탄동,810-2,동남,1989,11,49.68,2020,1,18,190000000
41117,동수원로,매탄동,810-2,동남,1989,12,49.68,2020,1,18,195000000
41117,동수원로,매탄동,810-2,동남,1989,6,49.68,2020,1,18,187000000
41117,동수원로,매탄동,810-2,동남,1989,11,49.68,2020,1,20,198000000
41117,매봉로,매탄동,1209,e-편한세상,2010,10,59.9535,2020,1,20,510000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,20,75.814,2020,1,20,495000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,10,84.975,2020,1,20,500000000
41117,동탄원천로915번길,매탄동,1277,주공그린빌3,2002,4,84.45,2020,1,20,450000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,8,45.88,2020,1,20,218000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,17,45.88,2020,1,20,234000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,14,45.88,2020,1,20,220000000
41117,동수원로,매탄동,1162,임광,1990,8,108.11,2020,1,20,367000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,15,59.99,2020,1,20,211000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,13,49.95,2020,1,20,180000000
41117,매탄로,매탄동,1274,우남퍼스트빌,2002,9,101.945,2020,1,20,480000000
41117,매영로,매탄동,810,삼성2,1989,4,84.87,2020,1,20,320000000
41117,동수원로,매탄동,810-2,동남,1989,6,49.68,2020,1,21,180000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,22,75.814,2020,1,21,500000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,7,127.908,2020,1,21,570000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,6,45.88,2020,1,21,240000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,8,45.88,2020,1,21,235000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,9,45.88,2020,1,21,233000000
41117,동수원로,매탄동,810-1,현대,1989,4,70.96,2020,1,21,300000000
41117,동수원로,매탄동,1162,임광,1990,2,84.96,2020,1,21,315000000
41117,동수원로,매탄동,1162,임광,1990,11,84.96,2020,1,21,330000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,17,59.99,2020,1,21,220000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,15,59.99,2020,1,21,215000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,16,49.95,2020,1,21,180000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,6,49.94,2020,1,21,300000000
41117,인계로,매탄동,810-4,성일,1988,3,49.68,2020,1,21,178000000
41117,매영로,매탄동,810,삼성2,1989,7,74.4,2020,1,21,280000000
41117,인계로,매탄동,810-3,삼성1,1988,2,55.16,2020,1,21,223000000
41117,인계로189번길,매탄동,897,매탄주공4,1985,4,53.85,2020,1,21,700000000
41117,동수원로,매탄동,810-2,동남,1989,11,49.68,2020,1,21,190000000
41117,동수원로,매탄동,810-2,동남,1989,8,49.68,2020,1,22,189000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,27,84.818,2020,1,22,580000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,2,59.648,2020,1,22,413000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,20,84.975,2020,1,22,505000000
41117,동탄원천로881번길,매탄동,1282,주공그린빌5,2002,16,45.88,2020,1,22,231000000
41117,동탄원천로915번길,매탄동,1280,주공그린빌4,2002,6,84.45,2020,1,22,395000000
41117,동수원로,매탄동,810-1,현대,1989,2,125.25,2020,1,22,358000000
41117,매영로,매탄동,1217,한국2,1993,2,72.84,2020,1,22,478000000
41117,매탄로126번길,매탄동,1258,주공그린빌1,2002,1,84.45,2020,1,22,348000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,18,59.99,2020,1,22,217000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,12,59.99,2020,1,22,235000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,7,49.95,2020,1,22,175000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,6,44.2,2020,1,22,244000000
41117,권광로290번길,매탄동,164-10,우성,1998,15,59.94,2020,1,22,157000000
41117,인계로,매탄동,810-4,성일,1988,9,49.68,2020,1,22,188000000
41117,동탄원천로,매탄동,1217-7,삼성3,1993,4,59.76,2020,1,22,400000000
41117,인계로189번길,매탄동,897,매탄주공4,1985,5,46.8,2020,1,23,630000000
