지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41111,대평로51번길,정자동,882-5,화서역파크뷰,2000,4,49.56,2020,1,4,249000000
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,27,84.911,2020,1,4,580000000
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,24,59.929,2020,1,4,460000000
41111,정자천로188번길,정자동,24-1,정자KTe-편한세상,2008,2,84.76,2020,1,4,450000000
41111,덕영대로639번길,정자동,881-4,꽃뫼노을마을한마루아파트,2000,21,60.0,2020,1,4,283000000
41111,천천로21번길,정자동,922,화서역 위너스 파크,2002,19,84.51,2020,1,4,380000000
41111,만석로20번길,정자동,918,청솔마을SK한화,2002,15,99.2153,2020,1,4,496000000
41111,정자천로189번길,정자동,872-1,연꽃마을풍림,1999,7,127.17,2020,1,4,435000000
41111,정자천로189번길,정자동,873-3,연꽃마을벽산,2000,5,84.96,2020,1,4,326000000
41111,천천로22번길,정자동,880-3,백설마을삼환나우빌,1999,10,59.83,2020,1,4,272000000
41111,대평로89번길,정자동,871-4,백설 에듀빌,2001,16,84.96,2020,1,4,368000000
41111,정자천로133번길,정자동,879-1,백설마을성지동양고속아파트,1999,1,99.89,2020,1,4,378000000
41111,정자천로188번길,정자동,886-1,화서역현대벽산,1999,6,59.88,2020,1,4,257000000
41111,수성로245번길,정자동,887-1,화서역 우방 센트럴파크,1999,12,59.98,2020,1,4,286000000
41111,수성로245번길,정자동,887-1,화서역 우방 센트럴파크,1999,20,59.96,2020,1,4,285000000
41111,수성로245번길,정자동,887-1,화서역 우방 센트럴파크,1999,11,59.96,2020,1,4,299000000
41111,천천로74번길,정자동,914,대월마을대림진흥,2001,20,84.9461,2020,1,4,358000000
41111,천천로74번길,정자동,914,대월마을대림진흥,2001,24,84.9461,2020,1,4,357000000
41111,천천로74번길,정자동,914,대월마을대림진흥,2001,3,84.9461,2020,1,4,320000000
41111,수성로245번길,정자동,887-1,화서역 우방 센트럴파크,1999,4,59.98,2020,1,6,289000000
41111,천천로74번길,정자동,914,대월마을대림진흥,2001,19,84.9461,2020,1,7,333500000
41111,이목로,정자동,945,수원 SK SKY VIEW,2013,3,59.952,2020,1,7,460000000
41111,정자천로188번길,정자동,24-1,정자KTe-편한세상,2008,2,140.72,2020,1,7,530000000
41111,송정로76번길,정자동,11-1,효성,1985,2,75.51,2020,1,7,159000000
41111,만석로68번길,정자동,870-1,백설마을현대코오롱아파트,1999,11,59.79,2020,1,7,265000000
41111,대평로89번길,정자동,871-4,백설 에듀빌,2001,16,84.96,2020,1,7,355000000
41111,수성로245번길,정자동,887-1,화서역 우방 센트럴파크,1999,7,59.98,2020,1,8,276000000
41111,정자천로189번길,정자동,872-1,연꽃마을풍림,1999,8,127.17,2020,1,8,470000000
41111,정자천로133번길,정자동,880-2,백설마을효성,2000,22,76.36,2020,1,8,303000000
